index,team,minute,timestamp,player,shot_statsbomb_xg,type,location,shot_end_location,shot_outcome,play_pattern,shot_freeze_frame
3462,Liverpool,5,00:05:02.697,Adam David Lallana,0.009389641,Shot,"[111.2, 19.6]","[111.4, 20.9]",Blocked,From Throw In,"[{'location': [104.1, 34.3], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [90.2, 43.3], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [89.5, 28.0], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [93.9, 12.9], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.0, 11.3], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [114.2, 24.9], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.3, 37.0], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.4, 16.0], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.7, 41.1], 'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.3, 35.4], 'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.6, 35.2], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.4, 35.6], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.9, 25.6], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.4, 15.9], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.8, 27.1], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.1, 19.1], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.4, 21.1], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]"
3463,Liverpool,9,00:09:27.660,Divock Okoth Origi,0.2569013,Shot,"[114.6, 36.1]","[120.0, 36.9, 2.8]",Post,From Corner,"[{'location': [109.2, 40.4], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.7, 37.8], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.4, 38.5], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.3, 43.5], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.6, 36.1], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.1, 49.4], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.8, 53.1], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.3, 39.0], 'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [108.9, 44.2], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.2, 33.2], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.1, 45.9], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.8, 40.4], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.8, 48.7], 'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 54.3], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [112.8, 44.1], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]"
3464,Liverpool,13,00:13:11.419,Adam David Lallana,0.017521882,Shot,"[100.3, 57.4]","[117.5, 41.9, 0.2]",Saved,Regular Play,"[{'location': [82.9, 66.5], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.5, 44.4], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.1, 57.7], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [94.0, 44.3], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.9, 35.8], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.7, 41.8], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.8, 66.7], 'player': {'id': 3534, 'name': ""Clinton Mua N''Jie""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.4, 61.7], 'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.1, 56.4], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [87.0, 35.1], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [86.2, 48.4], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [100.7, 53.6], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.4, 38.5], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.9, 45.9], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.7, 55.8], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]"
3469,Liverpool,33,00:33:24.296,Martin Škrtel,0.033451308,Shot,"[110.5, 31.3]","[114.9, 41.2]",Blocked,From Corner,"[{'location': [96.7, 46.1], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.4, 37.9], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.7, 37.3], 'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [104.7, 51.1], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [114.5, 46.1], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.1, 36.7], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.5, 39.6], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.1, 45.9], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.7, 35.6], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.0, 41.4], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.0, 37.9], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.7, 31.6], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.2, 36.7], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.4, 33.4], 'player': {'id': 3534, 'name': ""Clinton Mua N''Jie""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.8, 45.4], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.6, 51.1], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [116.5, 45.8], 'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]"
3473,Liverpool,42,00:42:45.941,Emre Can,0.02837392,Shot,"[91.0, 42.1]","[98.7, 41.3]",Blocked,Regular Play,"[{'location': [100.4, 40.1], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.2, 22.5], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.6, 39.9], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.6, 45.3], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.9, 40.4], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.7, 49.4], 'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 42.4], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.4, 38.9], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.5, 25.9], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.0, 37.7], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]"
3474,Liverpool,42,00:42:49.435,Philippe Coutinho Correia,0.034349833,Shot,"[95.7, 29.9]","[118.0, 41.1, 0.8]",Saved,Regular Play,"[{'location': [118.9, 40.4], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.7, 50.0], 'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.9, 41.9], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.7, 35.4], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.3, 30.3], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.3, 33.7], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [92.5, 37.8], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [83.4, 42.9], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [76.0, 65.5], 'player': {'id': 3534, 'name': ""Clinton Mua N''Jie""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [85.5, 34.1], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [90.6, 33.5], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.8, 38.6], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.4, 36.3], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [90.1, 48.3], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]"
3477,Liverpool,46,00:46:03.180,Lucas Pezzini Leiva,0.017230064,Shot,"[86.5, 33.0]","[102.8, 32.4]",Blocked,From Throw In,"[{'location': [95.5, 41.8], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.8, 37.7], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.4, 14.3], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [91.0, 20.0], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [91.2, 25.4], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [93.0, 33.1], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.7, 22.4], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.3, 33.1], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 40.2], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [90.5, 44.5], 'player': {'id': 3534, 'name': ""Clinton Mua N''Jie""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.5, 45.0], 'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.2, 29.5], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.7, 15.9], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.5, 13.0], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [90.1, 22.0], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.3, 38.6], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]"
3478,Liverpool,53,00:08:23.529,Alberto Moreno Pérez,0.0051343036,Shot,"[80.9, 38.1]","[112.2, 41.0, 0.9]",Saved,From Free Kick,"[{'location': [85.2, 23.5], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.1, 41.1], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.3, 39.2], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [94.7, 33.0], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [91.9, 42.4], 'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [118.6, 40.9], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 44.0], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.8, 40.6], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.8, 36.7], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [79.1, 39.3], 'player': {'id': 3585, 'name': 'Erik Lamela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [85.4, 39.7], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [97.8, 56.9], 'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [87.8, 35.3], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [94.3, 43.8], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.8, 31.0], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [81.1, 49.3], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [91.0, 47.4], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [87.6, 40.4], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]"
3479,Liverpool,54,00:09:06.837,Lucas Pezzini Leiva,0.027675401,Shot,"[91.7, 38.2]","[118.0, 43.1, 0.2]",Saved,Regular Play,"[{'location': [85.2, 28.8], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [83.1, 37.9], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [82.8, 14.4], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.4, 39.7], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.2, 31.9], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.5, 29.1], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.7, 34.5], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.2, 27.2], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.3, 47.0], 'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.3, 37.9], 'player': {'id': 3037, 'name': 'Mousa Sidi Yaya Dembélé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.6, 32.0], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.9, 37.5], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.5, 34.2], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.5, 31.4], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]"
3483,Liverpool,77,00:32:51.953,Divock Okoth Origi,0.059595734,Shot,"[110.4, 25.4]","[118.7, 36.4, 0.2]",Saved,Regular Play,"[{'location': [87.0, 41.6], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [89.7, 33.7], 'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [95.0, 35.3], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.2, 45.0], 'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.2, 39.8], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.9, 32.8], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.3, 28.8], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.9, 36.7], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.7, 48.8], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [93.8, 58.2], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.3, 42.7], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.3, 38.9], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]"
