index,team,minute,timestamp,player,shot_statsbomb_xg,type,location,shot_end_location,shot_outcome,play_pattern,shot_freeze_frame
3472,Liverpool,3,00:03:00.183,Philippe Coutinho Correia,0.053581227,Shot,"[103.7, 49.7]","[105.4, 48.5]",Blocked,Regular Play,"[{'location': [94.7, 41.1], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [90.4, 22.5], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [89.6, 53.2], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.2, 54.1], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.7, 47.8], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.1, 48.1], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.9, 42.3], 'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.1, 64.3], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [103.3, 53.5], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]"
3473,Liverpool,3,00:03:37.263,Emre Can,0.065954335,Shot,"[114.4, 51.0]","[120.0, 42.7, 4.3]",Off T,From Corner,"[{'location': [119.1, 36.6], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.6, 41.1], 'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.8, 41.7], 'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.1, 42.1], 'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.2, 38.1], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.6, 43.6], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.3, 57.3], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.5, 46.9], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.5, 49.6], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.4, 37.9], 'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.7, 36.8], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.6, 51.4], 'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.0, 76.0], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [112.9, 42.0], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [98.1, 40.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [95.7, 29.0], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [111.0, 47.4], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [108.6, 37.3], 'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.9, 37.4], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]"
3474,Liverpool,7,00:07:56.121,Adam David Lallana,0.02579474,Shot,"[94.6, 52.6]","[116.4, 42.0, 0.0]",Saved,Regular Play,"[{'location': [118.8, 42.0], 'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.9, 54.8], 'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.5, 63.5], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.5, 51.7], 'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.3, 40.1], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.3, 31.4], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.3, 54.9], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [99.3, 41.8], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.7, 46.6], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 30.2], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [102.9, 41.0], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.9, 30.9], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [83.9, 35.2], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [99.6, 72.6], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]"
3477,Liverpool,14,00:14:33.022,Alberto Moreno Pérez,0.0161717,Shot,"[94.5, 27.5]","[97.7, 28.4]",Blocked,From Corner,"[{'location': [111.2, 38.6], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.0, 48.8], 'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.9, 47.2], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.9, 42.5], 'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.6, 40.7], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [117.8, 38.6], 'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.9, 34.0], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.2, 41.8], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [107.9, 39.5], 'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [116.3, 45.9], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.3, 37.5], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.9, 40.9], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.3, 39.4], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.9, 28.6], 'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.6, 40.9], 'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.0, 74.3], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [91.7, 36.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [104.4, 45.6], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]"
3479,Liverpool,23,00:23:12.564,Philippe Coutinho Correia,0.0073510543,Shot,"[101.9, 17.1]","[120.0, 40.1, 3.8]",Off T,From Throw In,"[{'location': [100.2, 37.3], 'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.4, 40.3], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.5, 34.3], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.7, 28.8], 'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.0, 13.9], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.1, 19.9], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.6, 21.9], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [91.9, 21.8], 'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [93.1, 10.5], 'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.5, 37.6], 'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.6, 33.4], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [106.5, 24.6], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [106.6, 15.9], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]"
3480,Liverpool,28,00:28:42.408,Philippe Coutinho Correia,0.016971843,Shot,"[92.9, 27.5]","[96.0, 29.2]",Blocked,From Throw In,"[{'location': [103.6, 38.6], 'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.9, 43.3], 'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.5, 43.8], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.6, 35.9], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.3, 24.7], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.7, 22.0], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.0, 29.0], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.8, 17.1], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.6, 39.8], 'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.5, 39.5], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [104.8, 29.2], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.7, 18.9], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [93.2, 13.2], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]"
3481,Liverpool,29,00:29:10.434,James Philip Milner,0.05474305,Shot,"[100.3, 38.6]","[120.0, 45.8, 0.0]",Off T,Regular Play,"[{'location': [95.1, 47.4], 'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [103.9, 43.4], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.9, 39.1], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.8, 36.2], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.9, 31.1], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.7, 33.0], 'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.5, 31.4], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.2, 39.3], 'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.6, 37.6], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [92.1, 29.6], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [101.7, 33.2], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]"
3482,Liverpool,31,00:31:53.563,James Philip Milner,0.04436856,Shot,"[104.2, 45.3]","[105.7, 44.7]",Blocked,Regular Play,"[{'location': [108.7, 51.8], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [101.9, 63.1], 'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.4, 49.1], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.0, 44.0], 'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.7, 44.7], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 49.6], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.7, 44.4], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.2, 37.8], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.2, 33.8], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.3, 42.2], 'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.5, 46.4], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [110.4, 34.7], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.5, 41.3], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]"
3484,Liverpool,40,00:40:44.758,Alberto Moreno Pérez,0.06028831,Shot,"[108.4, 24.7]","[120.0, 35.1, 4.5]",Off T,From Free Kick,"[{'location': [109.1, 42.0], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.7, 34.6], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.1, 37.3], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.9, 29.5], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.7, 29.4], 'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.2, 37.4], 'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.9, 40.3], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.8, 49.8], 'player': {'id': 4747, 'name': 'Divock Okoth Origi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.4, 30.8], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}]"
3485,Liverpool,47,00:02:31.164,Christian Benteke Liolo,0.09214174,Shot,"[111.8, 41.5]","[118.4, 43.6]",Wayward,From Corner,"[{'location': [118.4, 43.6], 'player': {'id': 3828, 'name': 'Steven Davis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [96.9, 55.4], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [113.6, 44.6], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [112.0, 49.4], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [108.4, 37.7], 'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [114.2, 35.5], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [118.4, 41.7], 'player': {'id': 20201, 'name': 'Maarten Stekelenburg'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 50.6], 'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [113.6, 43.7], 'player': {'id': 11062, 'name': 'Graziano Pellè'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.3, 47.7], 'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.8, 40.8], 'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.5, 39.0], 'player': {'id': 3098, 'name': 'Victor Wanyama'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [120.0, 36.9], 'player': {'id': 3329, 'name': 'Cédric Ricardo Alves Soares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 37.8], 'player': {'id': 20045, 'name': 'Ryan Bertrand'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.3, 38.0], 'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [113.9, 42.3], 'player': {'id': 16181, 'name': 'Jordy Clasie'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]"
