index,team,minute,timestamp,player,shot_statsbomb_xg,type,location,shot_end_location,shot_outcome,play_pattern,shot_freeze_frame
3655,Liverpool,20,00:20:45.429,Adam David Lallana,0.06939855,Shot,"[108.9, 45.6]","[109.8, 45.0]",Blocked,From Throw In,"[{'location': [101.8, 42.3], 'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.1, 57.3], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.6, 49.9], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.4, 55.0], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [117.1, 42.0], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.4, 44.7], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.3, 52.3], 'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.4, 47.1], 'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.7, 39.6], 'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 31.4], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [97.5, 47.6], 'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.9, 28.5], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [107.8, 37.6], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.6, 51.2], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [93.9, 34.8], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]"
3656,Liverpool,24,00:24:11.384,Jordon Ibe,0.033496827,Shot,"[103.5, 51.6]","[105.5, 50.3]",Blocked,From Throw In,"[{'location': [97.5, 23.9], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.5, 41.9], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.7, 43.4], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [86.0, 27.1], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [98.7, 53.5], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.4, 32.4], 'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.8, 38.6], 'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.1, 24.5], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.3, 43.8], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.2, 40.1], 'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.7, 50.2], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.6, 48.4], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [117.0, 42.5], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]"
3658,Liverpool,41,00:41:55.538,Alberto Moreno Pérez,0.081441686,Shot,"[96.9, 47.7]","[120.0, 41.7, 4.8]",Off T,From Free Kick,"[{'location': [108.3, 48.6], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.6, 47.7], 'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 53.3], 'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.8, 56.3], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.5, 41.2], 'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.5, 51.6], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.0, 45.4], 'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.6, 44.4], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.2, 46.6], 'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [95.4, 45.3], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.8, 42.0], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.6, 32.6], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.0, 35.8], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.0, 42.6], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 33.1], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.7, 36.7], 'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.7, 39.4], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.7, 45.8], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]"
3661,Liverpool,51,00:06:18.971,Jordon Ibe,0.010196323,Shot,"[98.0, 19.8]","[117.7, 37.8, 1.0]",Saved,From Throw In,"[{'location': [100.0, 35.1], 'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 28.3], 'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.0, 20.5], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.0, 19.6], 'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.0, 15.6], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.9, 38.0], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.2, 43.8], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 39.9], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 49.6], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.2, 34.3], 'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [77.7, 40.5], 'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [91.9, 61.6], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.1, 44.1], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.7, 37.0], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.7, 20.9], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [99.4, 29.8], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [92.7, 12.0], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [82.6, 24.3], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]"
3662,Liverpool,52,00:07:01.593,Dejan Lovren,0.25389424,Shot,"[113.7, 42.6]","[120.0, 41.9, 4.5]",Off T,From Corner,"[{'location': [112.9, 37.6], 'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.4, 29.6], 'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.4, 42.5], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.2, 32.6], 'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.0, 52.7], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [110.3, 40.6], 'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.1, 31.7], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.3, 41.5], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.9, 44.0], 'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.3, 44.9], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.7, 30.6], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.2, 34.9], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]"
3663,Liverpool,56,00:11:14.716,Christian Benteke Liolo,0.03122004,Shot,"[105.7, 26.1]","[108.5, 27.6]",Blocked,Regular Play,"[{'location': [111.1, 31.5], 'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.9, 38.0], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [91.8, 56.9], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [110.1, 31.9], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.8, 33.4], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [117.9, 37.6], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.5, 39.0], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.2, 36.5], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.5, 27.6], 'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.2, 46.3], 'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.9, 23.3], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [88.2, 54.5], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [108.6, 27.7], 'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.3, 38.8], 'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.6, 34.0], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]"
3664,Liverpool,56,00:11:43.755,Roberto Firmino Barbosa de Oliveira,0.09072634,Shot,"[106.2, 38.2]","[109.3, 37.6]",Blocked,From Corner,"[{'location': [114.5, 6.3], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [107.9, 18.4], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [93.5, 43.0], 'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.9, 41.5], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [111.9, 36.1], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.8, 37.8], 'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.8, 41.6], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [109.4, 34.7], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.8, 33.2], 'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.8, 38.9], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.4, 43.4], 'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.6, 32.3], 'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.5, 18.3], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.1, 42.4], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.9, 22.6], 'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.2, 43.6], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.6, 33.1], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]"
3665,Liverpool,60,00:15:54.267,Roberto Firmino Barbosa de Oliveira,0.08047935,Shot,"[105.8, 50.9]","[107.5, 48.0]",Blocked,Regular Play,"[{'location': [105.2, 52.6], 'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.4, 52.5], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.6, 42.8], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.3, 36.3], 'player': {'id': 3380, 'name': 'Christian Benteke Liolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.8, 42.2], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.2, 53.2], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.1, 35.6], 'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.8, 42.1], 'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.4, 59.3], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.7, 48.1], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.3, 51.8], 'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.9, 50.2], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [88.2, 54.5], 'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [100.6, 31.0], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [94.2, 59.2], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]"
3666,Liverpool,61,00:16:59.999,James Philip Milner,0.7835,Shot,"[108.3, 39.6]","[120.0, 39.9, 2.1]",Goal,Other,
3667,Liverpool,74,00:29:01.074,James Philip Milner,0.06981137,Shot,"[105.4, 26.8]","[120.0, 50.3, 0.4]",Off T,From Throw In,"[{'location': [96.4, 47.8], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.1, 42.0], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [108.3, 48.0], 'player': {'id': 3529, 'name': 'Daniel Andre Sturridge'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.1, 56.2], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.2, 62.5], 'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [99.0, 39.8], 'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.8, 32.8], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.7, 57.2], 'player': {'id': 7063, 'name': 'Jefferson Antonio Montero Vite'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.3, 44.6], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.3, 48.6], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.6, 36.5], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.8, 29.7], 'player': {'id': 3340, 'name': 'Kyle Naughton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.6, 44.6], 'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.6, 37.9], 'player': {'id': 4726, 'name': 'Kyle Bartley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]"
