index,team,minute,timestamp,player,shot_statsbomb_xg,type,location,shot_end_location,shot_outcome,play_pattern,shot_freeze_frame
3604,Liverpool,19,00:19:21.493,Alberto Moreno Pérez,0.11838586,Shot,"[111.0, 27.0]","[116.1, 35.0, 0.2]",Saved,From Throw In,"[{'location': [91.6, 57.2], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.8, 34.1], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.4, 35.7], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [99.4, 56.7], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.9, 41.3], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.1, 35.5], 'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.4, 31.7], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.5, 42.3], 'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.9, 48.6], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.8, 35.7], 'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]"
3605,Liverpool,20,00:20:41.849,Jordan Brian Henderson,0.042300127,Shot,"[97.2, 34.3]","[97.9, 34.5]",Blocked,From Corner,"[{'location': [106.3, 42.3], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.4, 44.9], 'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [104.3, 36.8], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.3, 26.0], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [105.6, 34.5], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.1, 41.4], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [99.6, 56.9], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [84.1, 52.8], 'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [93.8, 25.1], 'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.8, 11.3], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.3, 39.8], 'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.9, 43.7], 'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [99.1, 28.5], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.3, 34.0], 'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.4, 17.9], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.8, 29.1], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.9, 33.2], 'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]"
3606,Liverpool,29,00:29:04.152,Roberto Firmino Barbosa de Oliveira,0.016603429,Shot,"[100.5, 21.9]","[120.0, 43.6, 5.0]",Off T,From Throw In,"[{'location': [110.2, 30.6], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.1, 34.3], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.4, 29.2], 'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 26.5], 'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.3, 22.1], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [95.4, 17.3], 'player': {'id': 16295, 'name': ""Dame N''Doye""}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.0, 41.7], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.2, 27.5], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [87.4, 35.4], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [111.3, 38.7], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.3, 45.5], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [110.7, 29.1], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.6, 35.7], 'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.6, 18.4], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.5, 38.5], 'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]"
3607,Liverpool,37,00:37:00.697,Roberto Firmino Barbosa de Oliveira,0.021160819,Shot,"[103.8, 53.6]","[104.7, 52.9]",Blocked,Regular Play,"[{'location': [109.2, 30.9], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.4, 48.1], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.6, 41.0], 'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.2, 45.0], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [88.4, 59.9], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [92.8, 57.0], 'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [109.4, 48.1], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.5, 43.7], 'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.4, 40.0], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 42.1], 'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.7, 52.0], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.9, 33.1], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.0, 42.2], 'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 52.7], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]"
3608,Liverpool,43,00:43:26.318,Roberto Firmino Barbosa de Oliveira,0.030898808,Shot,"[94.7, 46.2]","[120.0, 40.6, 3.8]",Off T,From Corner,"[{'location': [103.2, 33.4], 'player': {'id': 3483, 'name': 'Mamadou Sakho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [86.9, 55.1], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [99.5, 28.5], 'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [91.2, 41.8], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [101.8, 58.0], 'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.6, 49.5], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.8, 45.1], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.5, 42.5], 'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.1, 47.9], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.6, 43.9], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.5, 54.8], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [117.1, 40.5], 'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.6, 25.4], 'player': {'id': 16295, 'name': ""Dame N''Doye""}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [91.0, 40.2], 'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.4, 39.9], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.1, 34.9], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]"
3609,Liverpool,44,00:44:40.022,Alberto Moreno Pérez,0.25036833,Shot,"[111.6, 36.7]","[120.0, 37.0, 3.7]",Off T,Regular Play,"[{'location': [118.8, 40.0], 'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.9, 58.2], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.5, 58.1], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.4, 51.0], 'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.9, 52.4], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.4, 45.2], 'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 43.7], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.2, 34.4], 'player': {'id': 16295, 'name': ""Dame N''Doye""}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.1, 42.5], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.6, 53.3], 'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [98.8, 44.0], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [100.5, 63.7], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.3, 50.7], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 45.9], 'player': {'id': 10931, 'name': 'Joe Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.5, 51.9], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]"
3611,Liverpool,46,00:01:49.274,Jordan Brian Henderson,0.027834339,Shot,"[92.7, 46.0]","[94.8, 45.7]",Blocked,From Throw In,"[{'location': [117.6, 41.9], 'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.7, 50.8], 'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [94.9, 47.1], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.4, 57.8], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.1, 48.5], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.2, 42.5], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.1, 44.0], 'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.5, 39.0], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.8, 27.1], 'player': {'id': 16295, 'name': ""Dame N''Doye""}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [98.1, 71.7], 'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [80.4, 36.7], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.8, 48.9], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.7, 40.9], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [94.0, 22.3], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]"
3612,Liverpool,50,00:05:03.399,Jordon Ibe,0.03691366,Shot,"[103.5, 55.7]","[105.2, 54.6]",Blocked,Regular Play,"[{'location': [98.1, 36.5], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.7, 40.6], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.9, 63.7], 'player': {'id': 4590, 'name': 'Nathaniel Edwin Clyne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.3, 46.1], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.0, 22.5], 'player': {'id': 16295, 'name': ""Dame N''Doye""}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.0, 39.7], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.2, 43.9], 'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.8, 54.5], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.1, 38.3], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.1, 54.0], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.5, 48.0], 'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [90.1, 45.7], 'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.4, 43.4], 'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]"
3613,Liverpool,53,00:08:03.028,Roberto Firmino Barbosa de Oliveira,0.045270897,Shot,"[94.7, 44.0]","[120.0, 45.1, 2.7]",Off T,From Free Kick,"[{'location': [117.2, 41.2], 'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.1, 49.9], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.3, 56.7], 'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.4, 51.4], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [94.7, 53.8], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [101.5, 35.4], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.4, 26.3], 'player': {'id': 16295, 'name': ""Dame N''Doye""}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [103.6, 37.6], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.2, 33.4], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.4, 42.3], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.5, 51.7], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.1, 45.2], 'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.3, 39.5], 'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]"
3615,Liverpool,58,00:13:43.064,Roberto Firmino Barbosa de Oliveira,0.13530204,Shot,"[114.5, 46.3]","[120.0, 37.6, 0.7]",Goal,From Throw In,"[{'location': [119.9, 41.6], 'player': {'id': 9539, 'name': 'Vito Mannone'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.1, 22.7], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.9, 49.2], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.5, 32.7], 'player': {'id': 13846, 'name': 'Jan Kirchhoff'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.5, 45.0], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.9, 39.2], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.3, 34.2], 'player': {'id': 13286, 'name': 'Lamine Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.1, 26.5], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.3, 26.2], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.1, 34.1], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.8, 49.0], 'player': {'id': 3635, 'name': 'Jordon Ibe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.7, 34.9], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]"
