index,team,minute,timestamp,player,shot_statsbomb_xg,type,location,shot_end_location,shot_outcome,play_pattern,shot_freeze_frame
3562,Liverpool,18,00:18:32.260,James Philip Milner,0.046288513,Shot,"[93.8, 38.2]","[120.0, 45.9, 4.6]",Off T,Regular Play,"[{'location': [91.0, 21.2], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.3, 33.6], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.1, 38.1], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.8, 27.3], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [93.5, 30.6], 'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.5, 42.3], 'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.9, 35.7], 'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.5, 29.5], 'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 33.3], 'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.6, 24.7], 'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.1, 31.3], 'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [115.7, 39.1], 'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]"
3563,Liverpool,22,00:22:32.278,Philippe Coutinho Correia,0.5385115,Shot,"[108.5, 37.0]","[120.0, 42.1, 0.3]",Goal,From Throw In,"[{'location': [103.7, 57.1], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [90.2, 25.1], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.1, 40.5], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [115.6, 41.1], 'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.2, 56.2], 'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.5, 51.3], 'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.9, 39.6], 'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.9, 36.6], 'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]"
3564,Liverpool,31,00:31:26.932,Philippe Coutinho Correia,0.02674822,Shot,"[92.8, 42.0]","[114.8, 40.2, 1.9]",Saved,Regular Play,"[{'location': [96.6, 56.9], 'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.9, 40.2], 'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.7, 29.5], 'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [97.6, 43.1], 'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.4, 41.1], 'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.2, 40.2], 'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.5, 28.1], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [98.5, 35.3], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]"
3565,Liverpool,31,00:31:40.534,Roberto Firmino Barbosa de Oliveira,0.89169306,Shot,"[114.0, 34.3]","[120.0, 37.5, 0.2]",Goal,From Counter,"[{'location': [95.4, 29.7], 'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [94.2, 22.2], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.4, 43.8], 'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.2, 32.0], 'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.7, 16.9], 'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [115.6, 29.8], 'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.1, 36.7], 'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.1, 29.6], 'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 18.7], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [114.6, 28.3], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.2, 43.3], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]"
3566,Liverpool,34,00:34:29.625,Roberto Firmino Barbosa de Oliveira,0.3571474,Shot,"[109.4, 49.5]","[112.6, 47.5, 0.3]",Saved,Regular Play,"[{'location': [102.3, 53.3], 'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.3, 40.0], 'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 39.0], 'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.7, 37.4], 'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.8, 47.1], 'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.5, 34.8], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.2, 32.1], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]"
3567,Liverpool,35,00:35:23.295,Roberto Firmino Barbosa de Oliveira,0.09317891,Shot,"[110.5, 30.2]","[120.0, 45.8, 0.9]",Off T,Regular Play,"[{'location': [103.1, 30.3], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [93.6, 29.0], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.3, 20.0], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [116.7, 37.0], 'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 19.2], 'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.4, 30.9], 'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.4, 27.4], 'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.1, 30.3], 'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.9, 20.7], 'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.5, 35.6], 'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.7, 32.6], 'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]"
3570,Liverpool,50,00:05:09.939,Philippe Coutinho Correia,0.020429065,Shot,"[102.9, 22.1]","[105.1, 24.0]",Blocked,From Throw In,"[{'location': [116.2, 37.4], 'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.9, 38.8], 'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.9, 31.7], 'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.9, 35.5], 'player': {'id': 4597, 'name': 'Fabian Delph'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.8, 24.2], 'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.1, 17.4], 'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.4, 20.1], 'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.8, 12.3], 'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.4, 22.6], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.5, 12.3], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.7, 4.0], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [92.5, 42.0], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.2, 33.3], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]"
3571,Liverpool,50,00:05:26.950,Dejan Lovren,0.031086227,Shot,"[94.2, 44.9]","[95.2, 44.4]",Blocked,From Corner,"[{'location': [96.3, 49.5], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [96.5, 39.4], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.6, 32.2], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.2, 29.5], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.7, 17.8], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [91.8, 26.6], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.8, 10.4], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [95.3, 44.4], 'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.7, 31.6], 'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.5, 36.2], 'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.4, 48.5], 'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.5, 43.7], 'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.1, 37.0], 'player': {'id': 4597, 'name': 'Fabian Delph'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.5, 20.2], 'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [97.1, 27.3], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [115.8, 40.2], 'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.5, 25.7], 'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]"
3574,Liverpool,59,00:14:34.875,Roberto Firmino Barbosa de Oliveira,0.49594823,Shot,"[106.5, 43.8]","[111.9, 42.0, 0.8]",Saved,Regular Play,"[{'location': [107.1, 31.5], 'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 33.7], 'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.8, 26.6], 'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [89.8, 45.9], 'player': {'id': 4597, 'name': 'Fabian Delph'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.0, 41.4], 'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.5, 38.5], 'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.9, 22.4], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [94.9, 38.8], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.7, 28.6], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]"
3575,Liverpool,60,00:15:29.808,Dejan Lovren,0.056335583,Shot,"[109.7, 35.5]","[118.5, 38.0, 1.0]",Saved,From Corner,"[{'location': [107.9, 38.0], 'player': {'id': 3535, 'name': 'Roberto Firmino Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.0, 31.3], 'player': {'id': 18872, 'name': 'Martin Škrtel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [115.5, 30.5], 'player': {'id': 3493, 'name': 'Emre Can'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [115.3, 39.9], 'player': {'id': 4090, 'name': 'Adam David Lallana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.4, 2.4], 'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [94.8, 47.3], 'player': {'id': 7780, 'name': 'Lucas Pezzini Leiva'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [96.5, 30.1], 'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.3, 11.8], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.2, 13.7], 'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [103.2, 24.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [100.4, 38.4], 'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [112.0, 29.6], 'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.4, 38.7], 'player': {'id': 19288, 'name': 'Martín Gastón Demichelis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.1, 34.7], 'player': {'id': 3389, 'name': 'Eliaquim Mangala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.1, 33.4], 'player': {'id': 3054, 'name': 'Fernando Luiz Rosa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.0, 38.7], 'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.2, 35.8], 'player': {'id': 4597, 'name': 'Fabian Delph'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.3, 39.1], 'player': {'id': 7110, 'name': 'Bacary Sagna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.8, 38.2], 'player': {'id': 3291, 'name': 'Joe Hart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]"
